date,top10gross,num_releases,num1gross
2019-12-31,41665447,54,13217698
2019-12-30,43219231,53,15302130
2019-12-29,56411598,54,21244082
2019-12-28,65192161,54,25075535
2019-12-27,65191259,54,26069973
2019-12-26,68467070,54,30586950
2019-12-25,75198949,54,32165681
2019-12-24,36838699,49,20270474
2019-12-23,47229945,52,29389847
2019-12-22,62731517,51,40301011
2019-12-21,72035124,51,47467565
2019-12-20,108450464,51,89615288
2019-12-19,7862973,54,3215901
2019-12-18,8860729,54,3456336
2019-12-17,14327480,53,6301757
2019-12-16,8508581,54,3585828
2019-12-15,30280587,59,15917973
2019-12-14,46058861,58,23610586
2019-12-13,34092053,56,19722984
2019-12-12,5643980,54,1758492
2019-12-11,6533255,56,2034899
2019-12-10,10602743,55,3585256
2019-12-09,6119141,56,1890910
2019-12-08,23778027,56,11298128
2019-12-07,35416686,54,16050532
2019-12-06,20815381,53,7816954
2019-12-05,7986180,53,2730406
2019-12-04,8346926,54,2824699
2019-12-03,13957681,54,5336770
2019-12-02,9080802,54,3187895
2019-12-01,37085196,53,19482892
2019-11-30,63577988,51,32363967
2019-11-29,66606168,51,34130914
2019-11-28,32997845,53,14960468
2019-11-27,43551766,53,24080546
2019-11-26,31266098,53,20791974
2019-11-25,19568580,55,12771012
2019-11-24,54569715,57,38017065
2019-11-23,74835863,57,50041031
2019-11-22,60740243,56,42205262
2019-11-21,5812815,56,2023953
2019-11-20,6982607,57,2409124
2019-11-19,11181619,58,3721314
2019-11-18,6713649,59,2360221
2019-11-17,23739106,60,8053816
2019-11-16,38123029,58,12409617
2019-11-15,27764908,58,11011525
2019-11-14,6311446,56,1329821
2019-11-13,6631735,56,1486389
2019-11-12,11228501,60,2427046
2019-11-11,15901040,59,3250098
2019-11-10,29556564,55,5029032
2019-11-09,40390774,54,6523018
2019-11-08,30757803,56,6345369
2019-11-07,6273986,55,1433670
2019-11-06,6889273,57,1696985
2019-11-05,13173253,56,3429579
2019-11-04,7716943,55,2063064
2019-11-03,27483885,55,7512332
2019-11-02,41965566,57,10970370
2019-11-01,29928048,54,10551130
2019-10-31,8323323,54,1886940
2019-10-30,6852150,57,1631209
2019-10-29,11111558,57,2468414
2019-10-28,8533752,60,1768872
2019-10-27,27178626,64,6184545
2019-10-26,38191089,60,8270749
2019-10-25,26776569,60,5500308
2019-10-24,8900850,63,2413101
2019-10-23,8669482,62,2450143
2019-10-22,15298320,63,3983871
2019-10-21,9955759,60,2742836
2019-10-20,35771954,62,10183290
2019-10-19,52663412,62,14213517
2019-10-18,41424039,62,12551906
2019-10-17,9199641,53,4203631
2019-10-16,10427444,54,4910895
2019-10-15,16059741,56,6973525
2019-10-14,19926553,56,8345763
2019-10-13,38469877,55,16817239
2019-10-12,52436937,54,22137778
2019-10-11,41999399,52,16906386
2019-10-10,12087094,53,8304063
2019-10-09,14700112,52,9611712
2019-10-08,20641366,51,13908626
2019-10-07,13860697,50,9702049
2019-10-06,37717482,56,24374841
2019-10-05,52865777,56,32476803
2019-10-04,52170134,55,39350693
2019-10-03,5587741,56,1568515
2019-10-02,7495381,58,1730210
2019-10-01,10738972,57,2310230
2019-09-30,7658431,56,1668095
2019-09-29,22818240,58,5961755
2019-09-28,36793199,57,8995905
2019-09-27,24234037,54,5654440
2019-09-26,8136114,59,2641420
2019-09-25,8688411,62,2901490
2019-09-24,13799906,62,4145420
2019-09-23,10395122,62,3287855
2019-09-22,28690303,65,7639965
2019-09-21,43535907,64,9564725
2019-09-20,41188444,65,13828975
2019-09-19,6051388,59,2346300
2019-09-18,6936968,60,2635483
2019-09-17,11384163,61,4633021
2019-09-16,8155037,60,2749048
2019-09-15,24056556,59,9448683
2019-09-14,40561993,57,17300571
2019-09-13,32586848,58,13099693
2019-09-12,6541316,54,4000302
2019-09-11,7507747,54,4521469
2019-09-10,12456628,57,8006196
2019-09-09,8036232,56,5478405
2019-09-08,29572976,56,20391269
2019-09-07,48386580,57,33627227
2019-09-06,45819096,57,37043656
2019-09-05,3464521,53,682666
2019-09-04,4314204,56,844855
2019-09-03,7000338,55,1443720
2019-09-02,20450930,57,3575630
2019-09-01,24787874,59,4559659
2019-08-31,23864410,58,4349033
2019-08-30,15420754,57,2890717
2019-08-29,7467977,59,1347287
2019-08-28,7832897,60,1568899
2019-08-27,13158948,59,2995970
2019-08-26,8169076,62,1821078
2019-08-25,25119532,63,5633675
2019-08-24,35293890,62,7788659
2019-08-23,27485690,61,7958653
2019-08-22,9092749,51,1703105
2019-08-21,11542194,52,1935025
2019-08-20,15588539,54,3030740
2019-08-19,10432200,53,2236030
2019-08-18,29728957,56,5757845
2019-08-17,40704669,57,7329780
2019-08-16,31424008,56,8314980
2019-08-15,11830013,56,2015545
2019-08-14,13942664,55,2315680
2019-08-13,24203103,56,4181885
2019-08-12,14187971,54,2708915
2019-08-11,35140187,58,7739550
2019-08-10,46654263,56,10456315
2019-08-09,39577161,55,8781643
2019-08-08,13785009,53,4185359
2019-08-07,15855534,51,4910061
2019-08-06,25305046,51,8514380
2019-08-05,17236644,50,5871570
2019-08-04,41679822,52,15880625
2019-08-03,54293364,51,20552805
2019-08-02,47920126,52,23605520
2019-08-01,15834506,45,7560936
2019-07-31,18500578,48,8809285
2019-07-30,29311742,47,15218959
2019-07-29,19331379,49,9180811
2019-07-28,47030908,50,24321631
2019-07-27,58380588,48,29867757
2019-07-26,50211408,48,22432165
2019-07-25,22440847,50,15000934
2019-07-24,25169227,51,17037057
2019-07-23,43501186,49,30392565
2019-07-22,29473548,49,21050219
2019-07-21,72016139,53,52832619
2019-07-20,85766043,54,61007382
2019-07-19,95837058,53,77930758
