date,top10gross,num_releases,num1gross
2018-12-31,36240441,53,10011638
2018-12-30,50932176,51,16440551
2018-12-29,58118460,51,18632907
2018-12-28,56667767,51,17041113
2018-12-27,51671321,53,14622228
2018-12-26,55579761,52,16903518
2018-12-25,70898743,53,21982419
2018-12-24,31752644,49,10851928
2018-12-23,49473471,53,18793733
2018-12-22,55554266,52,21346634
2018-12-21,58331971,53,27733155
2018-12-20,12943731,60,4051124
2018-12-19,15362046,63,4763547
2018-12-18,14278049,59,4301097
2018-12-17,11160534,61,2765829
2018-12-16,28645794,62,9685478
2018-12-15,42788962,65,13012817
2018-12-14,31834524,60,12665081
2018-12-13,5264085,63,987880
2018-12-12,6234474,64,970245
2018-12-11,8862469,61,1533720
2018-12-10,5456743,62,893640
2018-12-09,21129847,63,4975604
2018-12-08,34133076,62,7762516
2018-12-07,18614792,61,3515711
2018-12-06,7043951,54,1107634
2018-12-05,7589749,52,1218513
2018-12-04,11596578,54,2139443
2018-12-03,6698881,54,1152644
2018-12-02,30318732,55,7909049
2018-12-01,47431308,54,11908969
2018-11-30,28440698,54,5748927
2018-11-29,9295049,58,1650373
2018-11-28,9398372,55,1702204
2018-11-27,15536680,52,3235011
2018-11-26,10836901,55,2251879
2018-11-25,46813707,55,13347996
2018-11-24,78342803,55,21178540
2018-11-23,78680108,54,21711098
2018-11-22,40067310,58,10172331
2018-11-21,54726134,58,18340440
2018-11-20,22600225,55,6959720
2018-11-19,16386643,55,5074414
2018-11-18,45823172,61,15368019
2018-11-17,64079674,62,21321824
2018-11-16,52088352,61,25473261
2018-11-15,8057483,63,2523805
2018-11-14,8497130,64,2661885
2018-11-13,14215303,63,4952140
2018-11-12,22745739,61,10665595
2018-11-11,46431475,65,21487420
2018-11-10,62756436,62,27444270
2018-11-09,43392632,62,18641165
2018-11-08,7969253,62,3527355
2018-11-07,8675372,65,3938110
2018-11-06,16116864,65,6248841
2018-11-05,9848845,64,4385123
2018-11-04,34370134,67,13379805
2018-11-03,53081284,67,18869750
2018-11-02,41933368,66,18811564
2018-11-01,5975432,68,1507990
2018-10-31,11026565,66,5547305
2018-10-30,10685276,67,3791900
2018-10-29,7253711,70,2471040
2018-10-28,24248885,70,7934815
2018-10-27,39246684,70,13588795
2018-10-26,27496524,68,9895460
2018-10-25,9899853,61,3764100
2018-10-24,9698501,60,3679080
2018-10-23,15376609,59,6347465
2018-10-22,10806913,59,4644210
2018-10-21,38060652,62,16057290
2018-10-20,61814586,64,27081225
2018-10-19,56148117,61,33083030
2018-10-18,8750173,64,2674744
2018-10-17,9154256,65,2928489
2018-10-16,13896718,63,3934191
2018-10-15,10492447,63,2933257
2018-10-14,34399338,66,9954504
2018-10-13,53659930,65,15275974
2018-10-12,38131210,64,9775629
2018-10-11,11900338,61,4513106
2018-10-10,12940866,64,4731282
2018-10-09,19213756,64,8228610
2018-10-08,24366989,69,9631343
2018-10-07,47954717,67,21380299
2018-10-06,61523744,67,26371927
2018-10-05,60151242,66,32503530
2018-10-04,4906855,68,1212605
2018-10-03,5596822,68,1552405
2018-10-02,10209526,66,2781015
2018-10-01,6014984,68,1672715
2018-09-30,24254408,67,6737165
2018-09-29,40091310,71,11268050
2018-09-28,28267163,69,9520825
2018-09-27,5403453,64,1027320
2018-09-26,6182375,64,1137555
2018-09-25,9556652,64,2243770
2018-09-24,5482746,64,1236560
2018-09-23,20654487,62,7336830
2018-09-22,34464455,62,11478330
2018-09-21,23428430,63,7792860
2018-09-20,6272634,68,1245247
2018-09-19,7241879,68,1464357
2018-09-18,11589402,67,2502227
2018-09-17,7544738,65,1901211
2018-09-16,23642393,70,5934704
2018-09-15,37255832,73,8394521
2018-09-14,33353697,69,10303059
2018-09-13,6097784,64,2207557
2018-09-12,6854153,63,2518075
2018-09-11,11420145,61,4818789
2018-09-10,8402915,60,3524525
2018-09-09,26024276,64,11936410
2018-09-08,43047200,64,19788796
2018-09-07,37261720,62,22082173
2018-09-06,4190229,59,1381881
2018-09-05,5020082,59,1643844
2018-09-04,7457316,60,2292830
2018-09-03,22833085,64,6611877
2018-09-02,28055583,63,8231075
2018-09-01,26975500,61,7896679
2018-08-31,18931709,61,5836591
2018-08-30,7927356,54,2472996
2018-08-29,8797470,58,2667019
2018-08-28,12453461,57,4304963
2018-08-27,8247086,58,2665261
2018-08-26,24727130,60,7441656
2018-08-25,35412088,61,10346442
2018-08-24,24495949,59,7020104
2018-08-23,10407753,53,3643559
2018-08-22,12276093,52,3733627
2018-08-21,18512685,53,5523718
2018-08-20,12414447,53,3631134
2018-08-19,33447570,55,8958015
2018-08-18,44491938,55,10284759
2018-08-17,32778649,53,7267366
2018-08-16,14514929,49,3753291
2018-08-15,16433770,49,5013478
2018-08-14,20084281,48,6036127
2018-08-13,14972557,48,4552992
2018-08-12,35900467,49,12520931
2018-08-11,49435728,48,16277249
2018-08-10,41642358,48,16604015
2018-08-09,12895346,47,3348171
2018-08-08,14768762,47,3681670
2018-08-07,22043773,47,5665373
2018-08-06,16177531,48,4460884
2018-08-05,34094505,49,10740225
2018-08-04,46541085,48,14731942
2018-08-03,39104031,48,9851648
2018-08-02,16675198,50,5631802
2018-08-01,19096759,52,6328934
2018-07-31,27199595,48,9451166
2018-07-30,18497814,48,6838935
2018-07-29,41500778,50,17011158
2018-07-28,53407707,50,21421918
2018-07-27,48422793,48,22803458
2018-07-26,16435851,49,3958180
2018-07-25,20747967,48,4865225
2018-07-24,29587241,51,6742430
2018-07-23,20880859,53,4906510
2018-07-22,47579661,57,9925907
2018-07-21,57766466,52,12709883
2018-07-20,52030831,53,14286815
2018-07-19,15643674,44,4333438
2018-07-18,17731153,47,4726875
2018-07-17,28932230,50,8505132
2018-07-16,18763348,49,5021214
2018-07-15,44435573,54,11927927
2018-07-14,58331844,51,15217792
