date,top10gross,num_releases,num1gross
2021-12-31,27601787,25,15407695
2021-12-30,35021475,26,20717908
2021-12-29,34092399,26,20327774
2021-12-28,36104760,25,21346817
2021-12-27,39209841,25,24770593
2021-12-26,52943454,27,33283250
2021-12-25,56478703,26,31609749
2021-12-24,31087749,24,19655506
2021-12-23,45018844,28,29333622
2021-12-22,47249638,29,27846311
2021-12-21,35610501,26,31408657
2021-12-20,40865953,28,37138318
2021-12-19,70605790,30,64232578
2021-12-18,82033791,30,73941279
2021-12-17,128026878,30,121964712
2021-12-16,2633738,33,734586
2021-12-15,3586725,33,968259
2021-12-14,4482456,34,1303008
2021-12-13,3512281,34,1015089
2021-12-12,11619341,35,3190574
2021-12-11,17318645,35,4514674
2021-12-10,11827462,35,4133219
2021-12-09,3918876,34,808467
2021-12-08,4115450,34,840976
2021-12-07,5014047,34,1115755
2021-12-06,3983231,34,786598
2021-12-05,14319631,35,4261705
2021-12-04,20594785,35,5816182
2021-12-03,12585904,35,3069731
2021-12-02,6692578,31,2200000
2021-12-01,7242975,32,2700000
2021-11-30,6360147,31,1487659
2021-11-29,5090601,31,1184398
2021-11-28,20849510,34,6350371
2021-11-27,34854917,34,9780990
2021-11-26,37020099,35,11075133
2021-11-25,19817511,34,5807558
2021-11-24,24714679,36,7553221
2021-11-23,10007692,31,4652233
2021-11-22,8721940,33,3847490
2021-11-21,21304289,35,10918188
2021-11-20,32184195,35,16437835
2021-11-19,26875314,36,16652383
2021-11-18,3816174,27,1378464
2021-11-17,4236052,27,1614457
2021-11-16,5455298,27,2181960
2021-11-15,4248277,27,1701899
2021-11-14,17747230,28,7141461
2021-11-13,29291422,28,11868839
2021-11-12,18814075,28,7839828
2021-11-11,14279388,31,6243758
2021-11-10,9527404,32,4211822
2021-11-09,8433267,31,5250371
2021-11-08,6931457,32,4262085
2021-11-07,25233076,35,16328496
2021-11-06,38349424,35,24124504
2021-11-05,40472345,35,30844219
2021-11-04,4480704,30,1278024
2021-11-03,5577587,30,1882062
2021-11-02,6932916,30,2135905
2021-11-01,5950319,30,1745453
2021-10-31,15649454,34,3958751
2021-10-30,25109701,34,6513629
2021-10-29,21033298,34,4941106
2021-10-28,3908400,29,1207256
2021-10-27,3964328,28,1212289
2021-10-26,4823445,29,1469567
2021-10-25,4211230,29,1264170
2021-10-24,23567302,31,8900000
2021-10-23,36689902,31,13700000
2021-10-22,33272239,31,17500000
2021-10-21,5815496,28,1928467
2021-10-20,6681073,28,2292823
2021-10-19,8384436,28,2742380
2021-10-18,7652625,28,2720460
2021-10-17,24592538,30,9249355
2021-10-16,42458355,30,17324690
2021-10-15,39854941,30,22830935
2021-10-14,6789384,29,3608414
2021-10-13,7596659,29,4190316
2021-10-12,9476934,29,5248341
2021-10-11,14128312,29,6938476
2021-10-10,29186499,31,13760317
2021-10-09,39757615,31,18154289
2021-10-08,38106841,31,23310401
2021-10-07,5410226,32,3478254
2021-10-06,6526428,33,4127045
2021-10-05,9315619,33,6276769
2021-10-04,8423431,33,5750338
2021-10-03,29490092,32,20985629
2021-10-02,45096762,33,31630397
2021-10-01,47123757,32,37417184
2021-09-30,2569276,31,782384
2021-09-29,2405897,31,961808
2021-09-28,3065418,31,1175926
